T,o,h,l,c,v
1768190399999,92197,92505,91790,91793,1493.6205
1768193999999,91794,92280,91736,92158,1078.48494
1768197599999,92158,92258,92033,92095,246.01549
1768201199999,92095,92191,91790,91804,612.22767
1768204799999,91805,91940,91366,91389,1200.35308
1768208399999,91389,91598,90358,90731,2653.5781
1768211999999,90731,90903,90605,90655,549.66157
1768215599999,90655,90759,90330,90403,482.48731
1768219199999,90404,90793,90397,90588,374.56283
1768222799999,90592,90840,90590,90767,493.47423
1768226399999,90767,90807,90506,90597,744.81172
1768229999999,90596,91097,90081,90876,3206.6532
1768233599999,90876,91640,90672,91640,2634.00927
1768237199999,91639,92281,91548,92100,3264.06366
1768240799999,92099,92291,90876,91476,7068.3563
1768244399999,91481,91920,91373,91634,2988.30376
1768247999999,91634,91834,91380,91808,1444.89371
1768251599999,91807,92013,91351,91445,1872.51807
1768255199999,91444,91444,90874,91007,1146.35821
1768258799999,91007,91390,91002,91192,953.87163
1768262399999,91191,91269,91009,91249,592.63697
1768265999999,91249,91500,91199,91434,2166.26838
1768269599999,91433,91500,90991,91148,796.38099
1768273199999,91149,91334,91066,91082,429.24018
1768276799999,91082,91410,91080,91382,771.39236
1768280399999,91383,91600,91309,91484,352.11642
1768283999999,91484,92293,91432,91906,5048.25406
1768287599999,91906,92271,91789,92171,1930.52119
1768291199999,92172,92195,91896,91950,381.46497
1768294799999,91950,92266,91915,92172,675.65782
1768298399999,92171,92686,91935,92261,2015.12773
1768301999999,92260,92351,92005,92130,853.94798
1768305599999,92130,92250,91965,91992,338.08508
1768309199999,91993,92150,91904,92100,220.57082
1768312799999,92099,92600,91988,92071,2601.34189
1768316399999,92070,92913,91779,92455,2923.39602
1768319999999,92455,93434,92122,93434,3361.19911
1768323599999,93435,93724,93019,93362,3547.87593
1768327199999,93363,93460,93060,93210,1283.67368
1768330799999,93209,93843,93159,93583,2044.59568
1768334399999,93584,94200,93438,94176,2151.45116
1768337999999,94177,94484,94081,94360,3496.15674
1768341599999,94359,94464,94020,94041,1764.32173
1768345199999,94040,96626,94040,95719,8957.67213
1768348799999,95719,96093,94994,95374,4051.30355
1768352399999,95374,95600,95117,95203,1364.80229
1768355999999,95203,95538,95084,95189,883.34056
1768359599999,95190,95522,95161,95299,991.87794
1768363199999,95299,95681,95246,95681,387.28179
1768366799999,95680,95754,95157,95194,640.75181
1768370399999,95193,95231,94894,94958,1579.1393
1768373999999,94958,94992,94544,94992,1348.48302
1768377599999,94992,95212,94819,95183,2453.08354
1768381199999,95182,95302,94863,94869,629.93338
1768384799999,94869,95166,94860,95058,335.94287
1768388399999,95058,95264,94842,95067,692.56356
1768391999999,95067,95067,94714,94773,649.51509
1768395599999,94773,95144,94647,95048,843.81343
1768399199999,95048,95230,94855,94974,1449.96933
1768402799999,94975,96900,94966,96482,7300.00073
1768406399999,96487,97102,96189,96737,3923.75504
1768409999999,96737,97671,96712,97283,3531.09357
1768413599999,97283,97765,96759,96943,3784.84838
1768417199999,96943,97108,96263,96794,2034.33499
1768420799999,96795,97651,96666,97241,1759.87919
1768424399999,97241,97949,97186,97629,2310.57671
1768427999999,97630,97696,97364,97550,1028.43361
1768431599999,97551,97563,96799,96854,2146.69019
1768435199999,96854,97370,96835,96917,1228.73842
1768438799999,96917,96975,96469,96639,1472.66158
1768442399999,96639,96944,96280,96435,984.57346
1768445999999,96435,96599,96075,96310,854.19223
1768449599999,96311,96371,95747,95970,1973.07394
1768453199999,95970,96380,95948,96299,759.49551
1768456799999,96300,96499,96231,96432,637.03878
1768460399999,96437,96581,96156,96230,500.66193
1768463999999,96230,96775,96173,96629,506.77974
1768467599999,96629,96667,96269,96636,916.48319
1768471199999,96636,97202,96550,97036,1391.35625
1768474799999,97036,97060,96737,96806,448.17139
1768478399999,96807,96940,96578,96579,441.10773
1768481999999,96580,97052,96508,96996,825.54122
1768485599999,96996,97045,96614,96858,945.44955
1768489199999,96858,97176,95575,96085,4084.36523
1768492799999,96085,96792,95436,96791,4291.37702
1768496399999,96791,96956,96269,96748,2168.90394
1768499999999,96748,97088,96431,96625,948.95454
1768503599999,96625,96629,95728,95812,2442.50509
1768507199999,95812,95925,95075,95486,5429.61036
1768510799999,95487,95634,95085,95227,1602.8069
1768514399999,95229,95610,95158,95569,693.40636
1768517999999,95570,95827,95471,95549,564.37694
1768521599999,95550,95698,95369,95588,828.43422
1768525199999,95589,95804,95567,95611,684.20825
1768528799999,95611,95835,95410,95656,818.32695
1768532399999,95656,95692,95385,95505,828.67896
1768535999999,95506,95588,95308,95333,409.32328
1768539599999,95333,95570,95150,95253,599.11472
1768543199999,95254,95691,95248,95653,803.30281
1768546799999,95653,95832,95523,95754,605.8888
1768550399999,95754,95809,95471,95650,447.72913
1768553999999,95651,95860,95570,95670,644.69053
1768557599999,95670,95787,95584,95605,188.25302
1768561199999,95605,95623,95320,95321,660.26234
1768564799999,95321,95478,95288,95434,387.46835
1768568399999,95434,95581,95381,95458,398.93091
1768571999999,95458,95572,95322,95451,420.14239
1768575599999,95452,95808,95241,95241,1404.94697
1768579199999,95242,95703,94302,94608,5007.59486
1768582799999,94609,95029,94536,94904,1189.31725
1768586399999,94903,95180,94600,95123,776.6443
1768589999999,95123,95258,95008,95042,822.42208
1768593599999,95041,95081,94868,95022,593.7484
1768597199999,95022,95593,94701,95582,938.75005
1768600799999,95583,95634,95380,95552,797.43372
1768604399999,95553,95615,95286,95540,368.96194
1768607999999,95541,95606,95466,95586,222.23459
1768611599999,95586,95613,95456,95478,256.25582
1768615199999,95478,95564,95395,95408,503.59094
1768618799999,95409,95430,95239,95390,447.00469
1768622399999,95389,95407,95282,95399,359.16003
1768625999999,95398,95399,95281,95323,223.56785
1768629599999,95323,95390,95298,95338,79.25515
1768633199999,95338,95371,95211,95256,130.28017
1768636799999,95256,95256,95059,95117,521.62658
1768640399999,95116,95275,95033,95260,106.61756
1768643999999,95260,95310,95203,95288,179.62566
1768647599999,95287,95296,95119,95120,259.1702
1768651199999,95119,95336,95087,95336,285.84766
1768654799999,95336,95408,95254,95274,122.20173
1768658399999,95273,95455,95199,95447,275.02521
1768661999999,95447,95561,95376,95496,235.70331
1768665599999,95495,95659,95435,95576,338.97558
1768669199999,95576,95583,95210,95313,304.35899
1768672799999,95314,95450,95295,95369,380.84714
1768676399999,95369,95481,95354,95443,122.27228
1768679999999,95443,95444,95273,95291,344.04828
1768683599999,95290,95401,95290,95400,155.71443
1768687199999,95399,95413,95261,95316,484.12602
1768690799999,95316,95316,95034,95159,847.66279
1768694399999,95158,95210,95099,95144,257.88494
1768697999999,95143,95261,95049,95103,616.13986
1768701599999,95104,95108,94847,94955,545.65502
1768705199999,94955,95051,94859,95023,265.02984
1768708799999,95023,95204,95023,95194,170.87626
1768712399999,95194,95195,95058,95079,233.23637
1768715999999,95080,95240,95050,95179,131.31341
1768719599999,95179,95197,95131,95168,58.98954
1768723199999,95168,95181,95009,95024,100.3331
1768726799999,95024,95183,95008,95174,211.43632
1768730399999,95174,95285,95140,95268,232.64866
1768733999999,95267,95286,95085,95168,131.93703
1768737599999,95169,95169,95054,95149,133.67802
1768741199999,95150,95163,95065,95100,88.15033
1768744799999,95099,95206,94887,95152,414.24048
1768748399999,95153,95370,94918,94948,610.72855
1768751999999,94947,95110,94915,95110,160.84623
1768755599999,95109,95201,95062,95162,237.53599
1768759199999,95162,95269,95130,95263,125.89167
1768762799999,95262,95521,95165,95438,582.44206
1768766399999,95438,95524,95331,95387,512.48551
1768769999999,95387,95443,95284,95309,359.60691
1768773599999,95309,95443,95300,95430,164.01034
1768777199999,95431,95537,95406,95483,154.37301
1768780799999,95483,95488,93555,93621,6279.33836
1768784399999,93620,93621,91800,92704,8909.85703
1768787999999,92704,92851,92209,92551,1491.53867
1768791599999,92551,92639,92359,92540,555.69231
1768795199999,92541,92768,92475,92682,457.69807
1768798799999,92682,92719,92467,92637,368.37232
1768802399999,92638,92776,92442,92465,620.71668
1768805999999,92465,92595,92327,92545,779.84019
1768809599999,92544,92810,92510,92783,606.23153
1768813199999,92784,93338,92643,93212,1660.38413
1768816799999,93213,93225,92900,93005,860.03038
1768820399999,93005,93047,92848,93029,257.84403
1768823999999,93029,93284,92912,93152,489.54452
