T,o,h,l,c,v
1767553199999,3136.2,3136.7,3121.7,3133.6,8790.4504
1767556799999,3133.6,3133.9,3115.7,3131.7,22106.6809
1767560399999,3131.6,3141.5,3129.8,3140.1,5802.5744
1767563999999,3140.5,3155.2,3136.2,3143.5,23968.8771
1767567599999,3143.5,3148.6,3135,3137.2,6725.3377
1767571199999,3138,3152.2,3133.1,3143.5,18910.488
1767574799999,3143.4,3173.6,3142.2,3166.7,30248.8569
1767578399999,3166.8,3217.6,3162.3,3196,38148.6947
1767581999999,3196.3,3202.8,3182.2,3191.6,17242.028
1767585599999,3191.7,3195.9,3183.6,3184.5,15707.1075
1767589199999,3184.5,3186.5,3155.9,3165.7,16846.9658
1767592799999,3165.7,3168.2,3146.7,3148.3,11026.7015
1767596399999,3148.3,3157.7,3135.3,3156.2,9842.984
1767599999999,3155.7,3161.5,3154.1,3155.9,1958.4578
1767603599999,3155.7,3170.8,3154.9,3162.2,8016.6025
1767607199999,3162.2,3174.3,3151.7,3167.4,26775.9779
1767610799999,3167.4,3177.9,3157.4,3171.6,28316.1315
1767614399999,3171.6,3182.1,3166.8,3178.8,13340.0974
1767617999999,3178.9,3182.4,3165,3169,3986.9206
1767621599999,3169,3174,3142,3153.2,14414.6399
1767625199999,3153.2,3176.6,3132.8,3164.9,38050.6207
1767628799999,3164.9,3203.8,3151.2,3195.3,33978.7368
1767632399999,3195,3201.5,3171.3,3182.8,23921.0559
1767635999999,3182.8,3227.1,3158.1,3211,59906.1625
1767639599999,3211,3227.1,3186.3,3227.1,42553.1656
1767643199999,3227,3227.3,3213.7,3221.5,9618.9639
1767646799999,3221.6,3263.6,3218.5,3239.9,39786.6747
1767650399999,3239.9,3246.4,3230.1,3237,25137.1807
1767653999999,3237,3248,3230.1,3238.4,6596.2876
1767657599999,3239,3239.6,3223.4,3223.5,8458.4188
1767661199999,3223.4,3229.7,3202,3214.6,16046.2336
1767664799999,3214.6,3246,3214.1,3216.8,14154.2394
1767668399999,3216.7,3222.8,3207.1,3215.8,7376.8813
1767671999999,3215.7,3232.2,3212.7,3223.9,23582.3798
1767675599999,3223.8,3232,3221.8,3221.9,11515.4285
1767679199999,3221.9,3227.5,3216.1,3217.5,47532.231
1767682799999,3217.5,3251.6,3217.2,3239.4,45152.0969
1767686399999,3239.4,3240.5,3210.1,3218.1,34483.4978
1767689999999,3218.1,3226.7,3212.6,3218.5,9888.1305
1767693599999,3218.5,3227.8,3215.8,3221.9,7069.3003
1767697199999,3221.9,3230.9,3220.4,3227.6,7635.6514
1767700799999,3227.6,3242.3,3226,3237.2,24183.1396
1767704399999,3237.1,3244.5,3235.3,3237.4,6106.8155
1767707999999,3237.4,3238.6,3228.4,3237.2,28737.5955
1767711599999,3237.1,3306.3,3237.1,3276.4,109949.1071
